Subspecialty,Source,Differential Formation,Q#,Prompt,Correct answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Oncology,AAOS,,,"A 65-year-old [white male] has swelling of the right thigh. He has no history of trauma, and he takes no medications. Temperature is 36.9°C (98.5°F), pulse rate is 87/min, respirations are 10/min, and blood pressure is 130/76 mmHg. Radiographs show no abnormalities.",Soft tissue sarcoma,Hematoma,Abscess,Lipoma
Oncology,AAOS,,,"A 9-year-old [female] presents with a 1-month history of pain in the right knee. Plain radiographs show a well-circumscribed, 1-cm lytic lesion in the tibial epiphysis",Chondroblastoma,Giant cell tumor of bone,Giant cell tumor of tendon sheath,Clear cell chondrosarcoma
Oncology,AAOS,,,"56-year-old [female] who has a mass in their left forearm. The patient says that the mass gets larger and is warm when they are more active, such as when gardening or exercising. The patient is right-hand dominant. Physical examination shows a firm, immobile mass distal to the elbow. Tenderness is noted on deep palpation",Arteriovenous malformation,Undifferentiated pleiomorphic sarcoma,Synovial sarcoma,Desmoid tumor
Oncology,AAOS,,#816003,55-year-old [woman] with a history of neurofibromatosis type 1 (NF-1). The patient reports 4 months of radiating right leg pain which has progressed in intensity and now is reportedly unremitting. The patient has increasing numbness over the posterior thigh.,Malignant peripheral nerve sheath tumor,Ancient Schwanomma,Plexiform neurofibroma,Synovial Sarcoma
Oncology,AAOS,,#20Fund-086,"6-year-old [boy] with a 2-year history of a non-enlarging, non-painful mass in the posterior aspect of his ankle. He shows minimal limitation of plantar flexion, and it does not transilluminate to light with physical examination.",Giant cell tumor of tendon sheath,Undifferentiated pleomorphic sarcoma,Ganglion Cyst,Hemagioma
Oncology,Orthobullets,,,"A 65-year-old [white male] without a history of cancer presents with thigh pain and a lytic lesion in the left femur. A CT scan of the chest, abdomen, and pelvis as well as a bone scan show this to be an isolated tumor. Biopsy confirms carcinoma.",Lung,Breast,Colon,Prostate
Oncology,Orthobullets,,,A 21-year-old left hand dominant [white male] who was throwing a football and noticed swelling in his left shoulder the next day.The patient had been having dull pain in his left shoulder for the last month after lifting weights without history of trauma. ,Osteosarcoma,Ewing Sarcoma,Osteoblastoma,Osteomyelitis
Oncology,Orthobullets,,,"A 28-year-old [white male] tennis player felt a twinge in their left calf while playing a doubles match one week ago. The following day, the patient noticed swelling that got worse. On the day of the patient's presentation to the office, the patient no longer had any pain, but the swelling persisted. Radiographs show a soft tissue mass.",Undifferentiated Pleomorphic Sarcoma,Synovial Sarcoma,Rhabdomyosarcoma,Pleiomorphic Liposarcoma
Oncology,Orthobullets,,,"A 55-year-old [white male] with a history of diabetes mellitus presents with left leg pain localized to their posterior knee and calf. The pain is worse with prolonged walking and resolves when the patient rests and remains standing upright. The patient has a history of chronic low back pain, prior cardiac stenting, and smokes 1 pack of cigarettes daily for the last twenty years. Physical exam is remarkable for 1+ patellar reflexes and an ABI of 0.8.",Vascular claudication,Enchondroma,Spinal Stenosis,Lumbar disc herniation
Oncology,Orthobullets,,QID: 3034 (OBQ09.221,A 24-year-old [white male] presents with pain and a mass in the anterior ankle. Plain radiographs are normal.,PVNS,Chondroblastoma,Aneurysmal bone cyst,Periosteal osteosarcoma
