Subspecialty,Source,Differential Formation,Treatment Stragies,Q#,Prompt,Correct answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Spine,AAOS,,,#929684,"An elderly [] patient with a history of diabetes mellitus presents after they slip and hit their head in the shower. Initially after the injury, the patients says they could barely move his upper extremities but could ambulate. The patient says their arm symptoms are improving but remain weak relative to the lower extremities. An MRI scan shows severe degenerative stenosis with cord compression in the cervical spine. The most likely diagnosis is",Central cord syndrome,Parsonage-Turner syndrome,Brown-Sequard syndrome,Anterior cord syndrome
Spine,AAOS,,,#Spine23-064,"A 66-year-old [female] has ongoing back pain and bilateral leg pain. The patient has been undergoing conservative treatment including physical therapy for the past 18 months, and the back pain has improved; however, they continue to have bilateral leg pain radiating down the legs and past the knee. Neurologic examination shows no sensory or motor deficits except for a positive bilateral straight-leg raising test based at 45°. MRI shows degenerative spondylolisthesis at L4-L5. What is the most likely cause of this patient's pain?",Bilateral L5 nerve root impingement,Bilateral L4 nerve root impingement,Bilateral S1 nerve root impingement,Central stenosis
Spine,AAOS,,,,"A 42-year-old [woman] reports neck stiffness, upper extremity pain, clumsiness, weakness, and instability of gait. Examination reveals 4+ of 5 strength in the upper extremities and 3+ biceps, brachioradialis, and patellar reflexes with a positive Hoffman sign bilaterally. MRI and CT scan demonstrate moderate-severe multilevel cervical stenosis with anterior osteophytes and ossification along the posterior vertebral bodies. Based on the history and imaging findings, what is the most likely diagnosis?",Ossification of the posterior longitudinal ligament,Ankylosing spondylitis,Diffuse idiopathic skeletal hyperostosis,Rheumatoid arthritis
Spine,AAOS,,,,"A 60-year-old [woman] has progressive neck pain, upper extremity pain, and paresthesias. A lateral cervical spine radiograph and an MRI multilevel degenerative changes and subaxial subluxations with anterolisthesis at C3-C4 and C4-C5 and retrolisthesis at C5-C6. In addition, there is evidence of midcervical kyphosis. What is the most likely underlying diagnosis?",Rheumatoid arthritis,Osteomyelitis,Ankylosing spondylitis,Age-related degenerative changes
Spine,AAOS,,,#20Fund-068,An 80-year-old [man] has fallen from standing height. The patient is having excruciating back pain but is neurovascularly intact. CT reveals fusion throughout the thoracic spine with extension of the proximal spine relative to the distal spine with a lucency. What is the most likely diagnosis?,Ankylosing spondylolitis-associated fracture,Osteoporotic compression fracture,Disc hernation,Muscular strain
Spine,AAOS,,,#20Fund-062,"An 18-year-old [] volleyball player has had significant back and leg pain that has worsened over the years. Prior they had mild pain, but now when they hyperextends to spike the ball, they notice increasing electrical shocks down her legs. Occasionally the patient notices weakness of their ankle dorsiflexion. What is the likely diagnosis?","Spondylolithesis, isthmic",Disc herniation,Spinal stenosis,Muscular strain
Spine,Orthobullets,,,,A 60-year-old [man] presents with neck stiffness and difficulty swallowing. A lateral radiograph demonstrates calcifications and heterotopic ossifications along the lateral margins of the intervertebral disc space and away from the vertebral bodies. What is the most likely diagnosis?,Diffuse idiopathic skeletal hyperostosis,Ankylosing spondylitis,Congenital spinal stenosis,Cervical myelopathy
Spine,Orthobullets,,,,"A 57-year old [male] presents with right arm pain of 4 weeks duration. The patient reports the pain began following a tennis match and has not improved with time. The patient describes the pain as an aching sensation that affects their lateral forearm that improves when they abduct the shoulder. The patient also describe a sensation of numbness in their right thumb. Reflex exam shows the patient has 1+ right biceps reflexes and 2+ right triceps reflexes which are both symmetric with the left side. Sensory exam shows paresthesias in the distribution of the right thumb. Motor exam shows no evidence of radial deviation with active wrist extension. Motor exam on the right shows 5/5 deltoid, 5/5 elbow flexion with the palms facing upward, 4/5 wrist extension, and 5/5 elbow extension, and 5/5 wrist flexion. What is the most likely etiology of the patient's symptoms.",C6 Radiculopathy,Lateral epicondylitis,PIN compression syndrome,Ulnar tunnel syndrome
Spine,Orthobullets,,,,"A 32-year-old [man] underwent a lumbar microdiskectomy and an incidental dural tear occurred. A hemilaminectomy was performed to obtain adequate visualization of the defect, and primary repair of the tear was performed. One month postoperatively the patient returns to the office complaining of severe headaches and occasional nausea which is worse with standing. The patient denies fever or chills. On physical exam the patient's wound is well healed with no cellulitis or erythema. WBC and ESR are within normal limits. What is the most likely diagnosis?",Cerebral spinal fluid leak,Viral meningitis,Bacterial meningitis,Vertigo
Spine,Orthobullets,,,,A 5-year old [male] without a history of trauma presents with a lateral cervical radiograph that shows anteroposterior movement of the second cervical vertebra on the third during flexion of the spine. The deformity reduces on extension radiographs. What is the most likely diagnosis?,Pseudosubluxation of the cervical spine,Traumatic spondylolisthesis of axis,Atlantoaxial instability (AP),Rotatory atlantoaxial instability
