Subspecialty,Source,Differential Formation,Treatment Stragies,Prompt,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Sports Medicine,AAOS,Diagnosis,,"A 32-year-old [] volleyball player has dull posterior shoulder pain. An examination reveals moderate external rotation weakness with his arm at his side but normal strength on supraspinatus isolation. Deltoid and supraspinatus bulk appear normal, although there appears to be mild infraspinatus atrophy. Sensation is normal throughout the shoulder and shoulder girdle. What is the most likely diagnosis?",Spinoglenoid notch cyst,Calcified transverse scapular ligament,Parsonage-Turner syndrome,Quadrilateral space syndrome
Sports Medicine,AAOS,Diagnosis,,"A 9-year-old [boy] is injured while playing soccer. The patient's examination reveals painful range of motion between 5° and 75°. There is tenderness on the medial side of their knee. There is no effusion, a grade 1A Lachman test, and severe pain over the medial epicondyle of the knee. Varus stress is negative and pain is elicited with valgus stress. Initial radiographs were negative for abnormality. What is the most likely area of injury?",hypertrophic zone of the growth plate,femoral attachment of the medial collateral ligament,tibial attachment of the medial collateral ligament,proliferative zone of thr growth plate
Sports Medicine,AAOS,Diagnosis,,"A 28-year-old [woman] undergoes a closing-wedge high tibial osteotomy (HTO) for medial compartment overload after medial meniscectomy. Postsurgically, the patient reports improvement in their medial pain and resumes normal activities. About 9 months after their surgery, however, the patient reports burning pain in the front of their knee with running. The patient's examination reveals no joint line tenderness, mild pain with patellar compression, and limited patellar glides. What is the most likely cause of the patient's symptoms?",patella infera (baja),patella alta,recurrence of medial joint overload,nonunion of the osteotomy
Sports Medicine,AAOS,Diagnosis,,"A 26-year-old [] weightlifter has increasing pain in their left shoulder for 4 months. Nonsurgical treatment consisting of anti-inflammatory medication, corticosteroid injections, and rest fails to alleviate their symptoms. The patient undergoes an arthroscopic distal clavicle resection with excision of the distal 8 mm of clavicle (Mumford procedure). Three months after surgery, the patient reports mild pain and popping by their clavicle. The patient's clavicle demonstrates mild posterior instability on examination without any obvious deformity on their radiographs. What structures were compromised during their excision?",posterior and superior acromioclavicular joint ligaments,conoid ligament,trapezoid ligament,anterior and superior joint ligaments
Sports Medicine,AAOS,,,"A 51-year-old heavy laborer [] who just underwent arthroscopic repair of the rotator cuff is now having severe leg pain in the postanesthesia care unit. Surgery was performed in the beach chair position, and total operative time was 120 minutes. Physical examination shows significant pain and tingling that radiates from the right inguinal area to the anterolateral aspect of the right thigh. No symptoms are present in the contralateral leg. Medical history includes hypertension, type 2 diabetes, and obesity with a body mass index (BMI) of 40 kg/m². What is the most likely cause of this patient’s symptoms?",Lateral femoral cutaneous nerve palsy,Deep vein thrombosis,Femoral nerve palsy,Obturator nerve palsy
Sports Medicine,AAOS,,,A 27-year-old [] football player sustains an acute lateral patellar dislocation. Which of the following is the most likely site of injury seen on MRI?,Soft-tissue avulsion of medial patellofemoral ligament,Midsubstance oblique retinacular ligament rupture,Midsubstance medial patellofemoral ligament rupture,Partial quadriceps tendon rupture
Sports Medicine,AAOS,,,A [] high school basketball player dies suddenly on the basketball court. An autopsy is most likely to find which of the following conditions to be the cause of death?,Hypertrophic obstructive cardiomyopathy,Dilated cardiomyopathy,Mitral valve prolapse,Aortic root rupture
Sports Medicine,AAOS,,,"An elite [] football player has sustained a left knee injury during play. A dynamic imaging analysis is performed on the affected knee, which shows anterior shift and internal rotation of the tibia at low flexion angles. There is also some mild medial translation of the tibia at greater flexion angles. What structure(s) have most likely been injury?",Anterior cruciate ligament,Posterior cruciate ligament,Posterior cruciate lilgament and medial collateral ligament,Medial collateral ligament
Sports Medicine,AAOS,,,"A 17-year-old [] football player presents to the emergency department with the acute onset of left upper quadrant abdominal pain, nausea, vomiting, and tachycardia after being tackled during a game. Their medical history reveals they had mononucleosis 1 month ago. What is the most likely explanation for these findings?",Spenic rupture,Fractured kidney,Ruptured appendicitis,Ruptured gallbladder
Sports Medicine,AAOS,,,A 17-year-old [male] presents to clinic with knee pain and swelling for 6 months. The patient is a starting high school catcher with aspirations of playing at the collegiate level. MRI confirms the diagnosis of osteochondritis dissecans. Where would the lesion most likely be located?,Posterior femoral condyle,Anterior aspect of lateral femoral condyle,Posterolateral tibial plateau,Inferomedial patellar facet
Sports Medicine,AAOS,,,"A 12-year-old [boy] presents with acute-on-chronic knee pain after landing awkwardly during a ski lesson. Physical examination reveals mild effusion, lateral-sided tenderness, and a range of motion from 10-85 degrees without any signs of instability. Plain radiographs are obtained and reveal flattening of the lateral femoral condyle and cupping of the lateral tibial plateau. An MRI is ordered as the next step in follow-up. Of the below options, which of the following is most likely to be observed on MRI review?",Longitudinal lateral meniscus tear,Popliteus tendinopathy,Anterolateral ligmanet injury,Fibular collateral ligament grade 3 tear
